S. No.,beta1,beta2,beta3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
90,3,3,0.1,0.755825719630759,14505269.2509743,101047372145.932,22392210395.1254,43082197.810844,349150.880717316,48753.7472068606,1696095.72076971,42562.2188077938,95912.2063435135,178646.400369622,801935.906728459,40165512.6276851,937580.668999391,35.1974678039551
91,3,3,0.4,0.711758451258693,14226362.9317287,99048907361.5681,20025209290.5635,43060427.9741119,512355.561575683,26046.2525784027,1793074.78517958,49929.2975014596,57846.8753274902,305615.624892629,51482.2053979775,39646219.7051666,27466.3416299486,40.1237008571625
92,3,3,1,0.548858074127612,13336853.2191319,90824807777.1213,15776237158.5117,42584739.4648923,85190.7724306017,21600.9153497224,485549.815709569,14183.0356651294,34286.8677695721,85457.162999184,27023.9553476133,36861933.538505,16317.0462052783,38.1180584430695
93,3,3,3,0.295040787038877,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,40.7162687778473
94,3,3,5,0.183963342868113,8800185.08682583,63459546780.8209,10045259316.0137,31682800.8724012,52093.4321467834,10713.0271257642,44759.1778436917,11874.5323427065,51499.1491985204,60169.408190033,20995.8387111034,20695730.8354974,336364.879508052,34.4015483856201
95,3,5,0.1,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,32.701831817627
96,3,5,0.4,0.626939352670662,14551036.992589,101040675535.074,22497358339.0057,43140390.6091812,435444.611779183,48670.5252264927,1581641.49629712,46748.6931968373,80035.8287823137,193481.436532652,828255.001088235,40095150.8573687,1270490.53013268,28.5734305381775
97,3,5,1,0.483591449261078,13936208.1810947,95928324164.4545,18053472879.8215,43057807.3507146,336494.430079923,30523.4878619351,1217579.80092299,28036.6694220305,28045.7603001321,102239.962035547,27704.8918178951,38951107.9449793,6540.22409530776,33.3671832084656
98,3,5,3,0.238444127535561,11727092.3888813,83277649949.6912,13285390582.1279,40226595.9483524,84983.1314146917,12620.7375308095,56870.2453937741,16704.411430281,35932.083092336,68135.9477926143,16287.3218684631,30048294.8059046,17091.7072185816,29.2785112857819
99,3,5,5,0.14223485661504,9931658.98285218,75102145289.0993,11288352470.3261,37978378.8803361,64218.4266793704,18330.8711032943,59863.9038243632,11699.0700477784,34493.7575521717,62399.1787980518,13461.4686240463,21500907.6199742,34959.6805604899,35.3371865749359
100,5,0.1,0.1,0.796716560452526,14781444.6964515,98920455397.8111,21508615893.4227,43191884.4901804,135156.621063552,13607.5355036983,2161883.24432694,23673.417261224,460979.077319758,220093.373371612,171051.169521385,40238593.5479756,2089624.8165278,40.9533035755158
101,5,0.1,0.4,0.733194978783339,14537844.2031474,94798814276.7817,18828620586.0513,43170739.2550897,157643.90507439,21737.1634977311,1296864.87630106,11711.6424037616,133395.536964337,177734.456340367,47004.3403813665,40238133.99165,2092687.16462954,31.5257594585419
102,5,0.1,1,0.563761732417929,13800287.507071,87638016560.2631,15256232136.8155,41795924.3914028,37499.3189430519,9420.33104683691,28013.4903672661,4564.67754038823,22906.2701061976,27232.0474543502,9041.4304314468,39088444.1803078,2005988.8036687,34.4157536029816
103,5,0.1,3,0.24381540672687,11674696.6804462,75816178512.1158,13124302156.5993,35979735.5282378,38893.4265368211,11661.6601242819,46327.8041819023,12428.3373685991,30938.2559895841,40628.6648300644,31937.4973363768,32813827.1385475,1251333.7133573,39.5591356754303
104,5,0.1,5,0.131187227845516,10320216.4305069,66542696947.848,11675147612.5885,30920509.6836049,62715.6621109373,11459.8010584519,59532.0357601739,16409.244572243,22208.3043510496,48697.4881257762,18803.772265781,30138582.1687344,815345.001155344,36.0694870948792
