S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
106,1,0.4,0.4,0.599032368854821,10947397.3767178,73362904085.677,12396229486.25,34966468.2568741,59725.9007047221,18393.4712093978,56480.3460150704,11249.7460081623,35738.6328149178,46658.9426313607,24797.2607090622,30266761.1422844,402362.617406303,29.4552898406982
107,1,0.4,0.6,0.583342570101525,10742525.0411679,69954055134.5662,12137924510.9338,32582466.9116216,52220.8602886607,11351.418284537,40510.3500469271,14176.817522187,28200.1038805247,60196.2909206369,27875.0491010648,29994832.5443949,1845203.41951089,39.5847589969635
108,1,0.4,0.8,0.565946434785417,10507621.746645,70214947466.3615,11893630983.4366,34887214.7947095,53435.078205616,8773.0282769564,51680.8703595411,8743.37276096447,47136.0837788704,48992.9585161598,27679.4810436671,27412525.6009258,686653.848902585,42.0533587932587
109,1,0.4,1,0.547948962846063,10278296.556263,69004899617.2884,11768975515.868,33187314.5784307,61422.7699937612,17191.8343848516,63075.1820752528,16516.8987777539,25803.0754400116,71130.6778267661,41636.184868541,27082171.8943921,1309581.13867819,27.3201994895935
110,1,0.6,0.2,0.615325025932108,11169709.5363198,77466659679.6759,12638993587.3341,37689117.9906147,53852.4891434937,9399.55937643023,45276.523819804,19972.345083234,51297.4065790531,63543.7644837088,17461.6946433125,29113126.3824386,162286.274289426,38.9226939678192
111,1,0.6,0.4,0.599375576528668,10961454.8993847,75265032507.4471,12384830647.7193,36071553.5032781,40805.2848505034,10789.7623736982,50183.4800701692,11821.997914426,49777.8892081824,55753.9821918126,24240.9797989288,28755668.5731678,894093.701595102,37.0076637268066
112,1,0.6,0.6,0.581981452406431,10725300.4167563,72950619540.5146,12182023565.3211,34543579.2405514,53409.9475907303,17740.3550099658,52487.3140571371,21487.9823133519,35279.3203921111,58811.2182888146,22918.1875735263,29680926.0104168,74920.4338053893,35.8924100399017
113,1,0.6,0.8,0.565929621806083,10512821.2235596,72627352760.3584,11941331365.0326,33100827.6239905,41235.0367098937,7666.62714578162,70725.7881500735,16868.4354628408,38817.854798299,61423.5165911389,29468.5341687732,28295300.2921596,1605687.13977097,36.9015169143677
114,1,0.6,1,0.550087273047953,10326964.1401162,70340809431.7609,11702855378.3848,32110892.7833706,35690.7594222318,14677.8218248721,41866.8350643781,8701.92119652652,43083.6679120294,68260.5051570671,30366.9230587734,29478601.3577416,320972.406590343,35.0166625976563
115,1,0.8,0.2,0.616327647052899,11181225.5332703,78261108935.0052,12604834759.7407,38589017.7931308,54094.8606967504,16294.979741541,55411.6512265455,8680.10058388539,40489.0202043606,27209.048103835,24813.3032456436,28444903.5169594,26199.554713635,38.5637550354004
116,1,0.8,0.4,0.599170880165921,10990112.3492154,76867051335.1436,12391628978.8131,38376276.1163088,49079.3217033123,9632.03666966678,55161.0552519697,13656.2474410236,36583.548094884,59568.874411517,15966.8307366157,27149551.831247,372117.727850785,38.3402624130249
117,1,0.8,0.6,0.584153451167822,10751044.1224105,75235722673.7045,12084212083.5858,35784426.465175,43118.9880284578,12907.2620646461,41725.9893283818,8976.15698868357,33516.1458479759,54690.1972892004,16037.0179653075,28624782.3944875,78559.0065332097,33.671247959137
118,1,0.8,0.8,0.564635607163442,10494511.5037033,73773744082.5149,11982285790.6045,34344333.6715153,76405.4407325787,12901.7332459814,84640.5127776657,8325.66071406905,43961.2806233323,58617.0480336203,26104.8601023837,28275526.7714652,227049.539196657,28.0798463821411
119,1,0.8,1,0.550678378281303,10300497.2895824,71773598785.3376,11684238206.3936,35880903.1747558,47433.5665676536,9724.70611582347,51375.2135248403,14519.6552009013,38610.7446274946,42477.51811486,35936.429710115,25472958.8606157,399767.078079038,34.3355467319489
120,1,1,0.2,0.616459494521626,11200201.5821911,80209589267.8898,12600343275.2188,36969704.978314,48364.2480532437,12832.6325063741,45078.3757910493,9451.16809718993,42268.7815157793,32126.0611006432,24518.0179647011,30199571.3304795,15935.9342061833,41.0237731933594
121,1,1,0.4,0.60025705995756,10964212.6773692,78998436020.0039,12355561049.8093,37219821.8034105,40224.4601544557,20433.8406586474,54167.4356928005,11160.5330528524,29519.2610095193,47052.1240071362,18987.3564408447,28463452.1566513,82183.5876247588,39.9549791812897
122,1,1,0.6,0.583145589426745,10743093.9060662,77435284878.0712,12144304452.5764,38776156.645856,54698.5042195121,8075.00776646146,59036.4957958074,11532.8959654183,46242.2445584918,46449.6925645614,21612.0698836695,25402522.2483504,221826.728900969,40.5371112823486
123,1,1,0.8,0.566776145271759,10526332.1248829,75831726710.0914,11914560386.4962,38235079.0064835,49935.8070289446,9924.76402392244,49164.1308850895,12234.117423511,33524.2614455351,50864.0337836687,32800.4295130505,24626153.2436497,252090.58785209,38.7555119991302
124,1,1,1,0.550490755275992,10297934.691507,73872923612.5933,11679547466.1845,35977230.6617043,61249.4079770572,17109.0544877325,50034.3784223442,16879.8074928954,25709.5646432188,57757.6796687945,20231.1994438085,25752674.4852302,9143.54504216425,36.3919639587402
